input,output,bin_counts,bin_offsets
351,8,10,0
324,7,10,10
297,2,10,20
61,9,10,30
243,6,10,40
216,3,10,50
189,0,10,60
162,5,10,70
135,4,10,80
108,1,10,90
81,15,10,100
54,12,10,110
27,18,10,120
494,10,10,130
80,17,10,140
508,16,10,150
538,14,10,160
142,11,10,170
865,19,10,180
725,13,10,190
93,27,10,200
183,26,10,210
757,29,10,220
44,21,10,230
361,23,10,240
99,24,10,250
649,20,10,260
312,28,10,270
286,22,10,280
15,25,10,290
541,34,10,300
473,33,10,310
202,38,10,320
460,35,10,330
433,37,10,340
389,32,10,350
118,31,10,360
352,36,10,370
325,30,10,380
298,39,10,390
34,44,10,400
244,41,10,410
217,45,10,420
190,48,10,430
163,40,10,440
136,47,10,450
109,43,10,460
82,46,10,470
55,49,10,480
826,42,10,490
863,54,10,500
53,55,10,510
237,53,10,520
511,58,10,530
240,59,10,540
866,51,10,550
505,57,10,560
427,50,10,570
139,52,10,580
758,56,10,590
614,61,10,600
90,64,10,610
72,68,10,620
650,67,10,630
41,65,10,640
259,69,10,650
569,66,10,660
542,63,10,670
8,60,10,680
175,62,10,690
461,72,10,700
434,75,10,710
362,78,10,720
91,70,10,730
353,73,10,740
326,76,10,750
278,77,10,760
7,74,10,770
245,79,10,780
218,71,10,790
191,81,10,800
164,80,10,810
137,82,10,820
110,89,10,830
121,83,10,840
158,84,10,850
195,86,10,860
232,88,10,870
26,85,10,880
755,87,10,890
283,93,10,900
213,99,10,910
867,90,10,920
33,91,10,930
400,94,10,940
129,96,10,950
759,98,10,960
502,97,10,970
316,95,10,980
45,92,10,990
651,108,,
503,109,,
2,102,,
570,107,,
543,104,,
38,105,,
148,101,,
462,100,,
435,103,,
89,106,,
64,118,,
354,110,,
327,114,,
251,113,,
273,116,,
246,115,,
219,119,,
167,112,,
165,117,,
138,111,,
453,121,,
490,129,,
527,124,,
564,127,,
601,126,,
976,125,,
68,128,,
12,123,,
186,122,,
868,120,,
644,135,,
280,136,,
102,139,,
760,137,,
114,138,,
289,132,,
18,130,,
652,133,,
476,131,,
205,134,,
571,142,,
544,148,,
392,140,,
83,143,,
463,147,,
436,144,,
35,141,,
37,146,,
355,149,,
328,145,,
224,158,,
274,153,,
247,151,,
220,150,,
140,154,,
166,157,,
785,152,,
822,156,,
859,155,,
896,159,,
933,162,,
970,163,,
107,164,,
424,167,,
430,165,,
58,166,,
869,160,,
617,169,,
9,161,,
75,168,,
761,175,,
533,178,,
262,170,,
680,177,,
653,171,,
29,173,,
178,176,,
572,179,,
545,172,,
365,174,,
94,189,,
464,183,,
437,186,,
281,181,,
10,184,,
356,187,,
329,182,,
32,185,,
275,180,,
248,188,,
221,190,,
113,191,,
342,195,,
711,199,,
973,194,,
228,197,,
265,198,,
302,192,,
339,196,,
318,193,,
153,202,,
403,205,,
132,208,,
104,200,,
421,203,,
319,207,,
48,204,,
762,206,,
506,201,,
6,209,,
681,216,,
654,217,,
422,218,,
151,213,,
573,219,,
546,211,,
225,210,,
67,214,,
465,212,,
438,215,,
254,224,,
384,220,,
357,221,,
330,228,,
170,225,,
